ID,State,Date,Sales
1,Jharkhand,22/6/2022,603
2,Jharkhand,21/6/2022,478
3,Jharkhand,20/6/2022,679
4,Jharkhand,19/6/2022,443
5,Jharkhand,18/6/2022,540
6,Jharkhand,17/6/2022,806
7,Jharkhand,16/6/2022,939
8,Jharkhand,15/6/2022,803
9,Jharkhand,14/6/2022,440
10,Jharkhand,13/6/2022,444
11,Bihar,22/6/2022,563
12,Bihar,21/6/2022,371
13,Bihar,20/6/2022,881
14,Bihar,19/6/2022,541
15,Bihar,18/6/2022,829
16,Bihar,17/6/2022,846
17,Bihar,16/6/2022,653
18,Bihar,15/6/2022,531
19,Bihar,14/6/2022,327
20,Bihar,13/6/2022,717
21,Maharastra,22/6/2022,925
22,Maharastra,21/6/2022,896
23,Maharastra,20/6/2022,647
24,Maharastra,19/6/2022,419
25,Maharastra,18/6/2022,762
26,Maharastra,17/6/2022,415
27,Maharastra,16/6/2022,834
28,Maharastra,15/6/2022,822
29,Maharastra,14/6/2022,887
30,Maharastra,13/6/2022,828
